DateTime,Kitchen Cabinet,2nd Floor Bedroom,Main Bedroom,Living Room,Outside
44782.17361,26.6,,,,
44782.21528,26.6,,,,
44782.25694,26.5,,,,
44782.29861,26.4,,,,
44782.34028,26.4,,,,
44782.38194,26.5,,,,
44782.42361,26.6,,,,
44782.46528,26.5,,,,
44782.50694,26.5,,,,
44782.54861,26.6,,,,
44782.59028,26.7,,,,
44782.63194,26.8,,,,
44782.67361,26.8,,,,
44782.71528,26.8,,,,
44782.75694,26.7,,,,
44782.79861,26.7,,,,
44782.84028,26.5,,,,
44782.88194,26.4,,,,
44782.92361,26.5,,,,
44782.96528,26.3,,,,
44783.00694,25.8,,,,
44783.04861,25.4,,,,
44783.09028,25.3,,,,
44783.13194,25,,,,
44783.17361,24.7,,,,
44783.21528,24.5,,,,
44783.25694,24.2,,,,
44783.29861,24.1,,,,
44783.34028,24,,,,
44783.38194,23.9,,,,
44783.42361,23.8,,,,
44783.46528,23.9,,,,
44783.50694,23.9,,,,
44783.54861,24.1,,,,
44783.59028,24.3,,,,
44783.63194,24.5,,,,
44783.67361,24.7,,,,
44783.71528,24.9,,,,
44783.75694,25,,,,
44783.79861,25.1,,,,
44783.84028,25,,,,
44783.88194,24.9,,,,
44783.92361,24.7,,,,
44783.96528,24.6,,,,
44784.00694,24.5,,,,
44784.04861,24.4,,,,
44784.09028,24.2,,,,
44784.13194,24.1,,,,
44784.17361,24,,,,
44784.21528,24,,,,
44784.25694,23.9,,,,
44784.29861,23.9,,,,
44784.34028,23.5,,,,
44784.38194,23.6,,,,
44784.42361,23.8,,,,
44784.46528,24,,,,
44784.50694,24.2,,,,
44784.54861,24.4,,,,
44784.59028,24.6,,,,
44784.63194,24.7,,,,
44784.67361,24.8,,,,
44784.71528,25,,,,
44784.75694,25.2,,,,
44784.79861,25.3,,,,
44784.84028,25.4,,,,
44784.88194,25.6,,,,
44784.92361,25.7,,,,
44784.96528,25.4,,,,
44785.00694,25,,,,
44785.04861,24.9,,,,
44785.09028,24.9,,,,
44785.13194,25,,,,
44785.17361,25,,,,
44785.21528,25,,,,
44785.25694,25,,,,
44785.29861,24.9,,,,
44785.34028,24.9,,,,
44785.38194,24.8,,,,
44785.42361,24.7,,,,
44785.46528,24.5,,,,
44785.50694,24.5,,,,
44785.54861,24.4,,,,
44785.59028,24.4,,,,
44785.63194,24.4,,,,
44785.67361,24.5,,,,
44785.71528,24.7,,,,
44785.75694,24.7,,,,
44785.79861,24.9,,,,
44785.84028,25,,,,
44785.88194,25.1,,,,
44785.92361,25.2,,,,
44785.96528,25.1,,,,
44786.00694,23.8,,,,
44786.04861,23.1,,,,
44786.09028,22.5,,,,
44786.13194,21.8,,,,
44786.17361,21.2,,,,
44786.21528,20.8,,,,
44786.25694,20.3,,,,
44786.29861,20.1,,,,
44786.34028,19.8,,,,
44786.38194,19.9,,,,
44786.42361,20.6,,,,
44786.46528,21.6,,,,
44786.50694,22.2,,,,
44786.54861,22.5,,,,
44786.59028,22.8,,,,
44786.63194,23.1,,,,
44786.67361,23.3,,,,
44786.71528,23.5,,,,
44786.75694,23.7,,,,
44786.79861,23.9,,,,
44786.84028,23.9,,,,
44786.88194,24,,,,
44786.92361,24.2,,,,
44786.96528,24.2,,,,
44787.00694,23.5,,,,
44787.04861,22.9,,,,
44787.09028,22.5,,,,
44787.13194,22,,,,
44787.17361,21.5,,,,
44787.21528,21,,,,
44787.25694,20.6,,,,
44787.29861,20.5,,,,
44787.34028,20.6,,,,
44787.38194,20.9,,,,
44787.42361,21.3,,,,
44787.46528,21.6,,,,
44787.50694,22,,,,
44787.54861,22.3,,,,
44787.59028,22.5,,,,
44787.63194,22.8,,,,
44787.67361,23,,,,
44787.71528,23.3,,,,
44787.75694,23.5,,,,
44787.79861,23.7,,,,
44787.84028,23.8,,,,
44787.88194,23.9,,,,
44787.92361,23.9,,,,
44787.96528,24,,,,
44788.00694,24,,,,
